hHostNameFinal,mean.pop,median.pop,sd.pop,max.pop,min.pop
Abrothrix_longipilis,12.0587299,0.17281796,112.9815694,3160.791504,0
Abrothrix_olivaceus,8.998111608,0.143397376,94.20178289,3160.791504,0
Abrothrix_sanborni,4.633443171,1.929075837,26.27432529,567.670105,0
Acinonyx_jubatus,6.818950897,0.732531667,88.9364843,48991.53516,0
Aepyceros_melampus,26.7526429,7.031625748,162.4900422,67776.64063,0
Aethomys_kaiseri,28.98497733,8.415718079,99.07683764,6763.204102,0
Aethomys_namaquensis,17.117983,0.684074938,184.7649156,37260.02344,0
Akodon_azarae,21.93597586,1.08558917,211.3827417,10983.91992,0
Akodon_montensis,66.27062047,12.18984222,397.8621256,19367.64063,0
Akodon_paranaensis,42.45147767,10.96374321,181.2129795,6714.210938,0
Akodon_simulator,17.7418368,1.362485528,131.5911225,4869.75293,0
Akodon_varius,14.35539328,3.557106018,95.32346736,1381.632935,0
Alcelaphus_buselaphus,21.01740237,5.647948265,148.1722194,67776.64063,0
Alces_alces,8.861770979,0.829897761,113.7983191,75848.01563,0
Allenopithecus_nigroviridis,7.97021248,5.989450216,25.49764225,3071.756592,0
Alopex_lagopus,0.106985497,0.000102172,9.952098653,7404.684082,0
Alouatta_caraya,9.777656197,1.414228678,70.1904887,4560.058105,0
Alouatta_palliata,49.30584232,13.09107018,230.3583746,11073.37109,0
Alouatta_pigra,17.08626715,6.284989834,40.40404547,1040.392822,0
Alouatta_seniculus,17.64152823,0.83120954,182.5694786,136044.2656,0
Ammospermophilus_nelsoni,5.993961035,0,104.8214643,7980.409668,0
Ammotragus_lervia,5.733509945,0.180789247,35.1006756,1337.449463,0
Anoura_caudifer,19.52187568,1.379638433,185.4644884,136044.2656,0
Anoura_geoffroyi,33.50734256,3.72455585,266.443409,136044.2656,0
Antidorcas_marsupialis,8.801079784,0.289203316,172.5592739,37260.02344,0
Antilocapra_americana,3.680665199,0.055869706,55.07250021,6206.363281,0
Antilope_cervicapra,231.3202562,145.7204742,470.9141946,34255.98047,0
Antrozous_pallidus,23.97461082,0.24609524,228.2249826,30130.94531,0
Aotus_azarae,5.35968135,0.993104458,77.80306528,19928.29297,0
Aotus_trivirgatus,2.471513463,0.268206805,18.57477954,949.2491455,0
Apodemus_agrarius,66.46251214,7.177058458,299.9828525,75848.01563,0
Apodemus_argenteus,226.9406999,45.8072052,718.134781,60037.23047,0
Apodemus_flavicollis,52.08832696,13.62198925,222.0225082,69964.48438,0
Apodemus_mystacinus,63.16111683,21.09594727,193.5032633,17568.71289,0
Apodemus_peninsulae,48.20795214,0.963862866,243.2189524,75848.01563,0
Apodemus_speciosus,225.5596883,44.89920425,716.1004291,60037.23047,0
Apodemus_sylvaticus,68.55520571,20.4180851,237.4028938,65852.67969,0
Apodemus_uralensis,21.70567274,4.180094242,146.6640799,69964.48438,0
Arctocephalus_australis,NA,NA,NA,NA,NA
Ariteus_flavescens,189.1422844,104.1084518,243.4915657,1298.090088,6.833526611
Artibeus_cinereus,5.484555245,0.41111961,89.32420951,19928.29297,0
Artibeus_fimbriatus,59.06127874,12.65983486,350.5729858,45265.97656,0
Artibeus_jamaicensis,62.21812241,15.09279156,256.6374937,30130.94531,0
Artibeus_lituratus,21.41641524,1.679665744,195.3166868,136044.2656,0
Artibeus_phaeotis,29.06203686,2.564093828,197.2209306,136044.2656,0
Artibeus_planirostris,15.27932491,0.94689548,172.1800911,45265.97656,0
Artibeus_toltecus,59.09109352,17.45538139,224.7566846,11073.37109,0
Arvicanthis_neumanni,20.63544659,7.493802071,62.31195784,4977.974121,0
Arvicanthis_niloticus,41.64183276,9.976633072,299.4494925,102969.6953,0
Arvicola_amphibius,20.84524872,1.341151774,133.3112792,75848.01563,0
Arvicola_scherman,72.17367332,24.90707302,186.9944435,8658.488281,0
Atelerix_albiventris,34.11326144,10.99253559,174.7379874,67776.64063,0
Ateles_geoffroyi,51.33284666,13.01987648,197.068563,11073.37109,0
Ateles_paniscus,2.507463363,0.401229769,18.24294638,618.2855835,0
