Association_ID,vVirusNameCorrected,hHostNameFinal,Previous_ID,WildDomInReference,DetectionMethod,DetectionQuality02,FINAL_ref,Mendeley_Endnote,input_date
F878,Andes_virus,Abrothrix_longipilis,NW36,wild,PCR,2,Medina et al. 2009,M,v30
F51,Andes_virus,Abrothrix_olivaceus,V57,wild,Antibodies,0,Sosa-Estani et al. 2002,M,v30
F341,Andes_virus,Abrothrix_sanborni,NW37,wild,Antibodies,0,Padula et al. 2004,M,v30
OIE1,African_horse_sickness_virus,Acinonyx_jubatus,,wild,bcELISA,0,Alexander et al. 1995,OIE,v30
F477,Bluetongue_virus,Acinonyx_jubatus,NW74,wild,Antibodies,0,"Alexander, MacLachlan et al. 1994",M,v30
F882,Feline_astrovirus,Acinonyx_jubatus,NW371,wild,PCR,2,Atkins at al. 2009 ,M,v30
F343,Feline_calicivirus,Acinonyx_jubatus,NW373,wild,Antibodies,0,Munson et al. 2004,E,v30
F352,Feline_coronavirus,Acinonyx_jubatus,NW383,wild,Antibodies,0,Hofmann-Lehmann et al. 1996,M,v30
F480,Rabies_virus,Acinonyx_jubatus,NW761,wild,Antibodies,0,Thalwitzer et al. 2010,M,v30
F320,Akabane_virus,Aepyceros_melampus,NW33,wild,Antibodies,0,Davies et al. 1985,M,v30
,Alcelaphine_herpesvirus_2,Aepyceros_melampus,,wild,Antibodies,0,Reid et al. 1973,arw,arw
F478,Bluetongue_virus,Aepyceros_melampus,NW75,wild,Antibodies,0,Karesh et al. 1997,M,v30
OIE22,Bovine_viral_diarrhea_virus_1,Aepyceros_melampus,,wild,SNT,1,Hamblin and Hedger 1979,OIE,v30
F264,Crimean-Congo_hemorrhagic_fever_virus,Aepyceros_melampus,NW257,wild,Antibodies,0,Shepherd et al. 1987,M,v30
F363,Foot-and-mouth_disease_virus,Aepyceros_melampus,NW430,wild,Antibodies,0,Hamblin et al. 1990,M,v30
LM107,Lumpy_skin_disease_virus,Aepyceros_melampus,LM107,wild,Antibodies,0,Hedger et al. 1983,E,v30
F1543,Rift_Valley_fever_virus,Aepyceros_melampus,NA,wild,Antibodies,0,Anderson & Rowe 1998; and Capobianco Dondona 2016,M,v30
KJO304,Rinderpest_virus,Aepyceros_melampus,,wild,Antibodies,0,"C.S. Rutebarika2, N. Nantima2, R.O. Ademun2, J. Okori3, G. Kalema3,4 and R. Kock5.  Rinderpest Surveillance in Uganda National Parks, Chapter 9",kjo,v30
Luis424,Witwatersrand_virus,Aethomys_kaiseri,,wild,Antibodies,0,Henderson et al. 1972,,v30
F238,Crimean-Congo_hemorrhagic_fever_virus,Aethomys_namaquensis,NW233,wild,Antibodies,0,Shepherd et al. 1987,M,v30
Luis313,Rift_Valley_fever_virus,Aethomys_namaquensis,,wild,Antibodies,0,[243],,kjo
Luis003,Andes_virus,Akodon_azarae,,wild,IFA,0,Chu et al. 2003,arw,arw
F728,Junin_virus,Akodon_azarae,NW578,wild,Isolation,2,Gonzalez et al. 2007 ,E,v30
,Pixuna_virus,Akodon_azarae,,,Isolation,2,Pisano et al. 2014,,kjo
Luis004,Andes_virus,Akodon_montensis,,wild,PCR,2,Chu et al. 2003,arw,arw
F794,St._Louis_encephalitis_virus,Akodon_montensis,NW893,wild,Isolation,2,,,v30
Luis005,Andes_virus,Akodon_paranaensis,,wild,Antibodies,0,de Oliveira et al. 2011,arw,arw
Luis187,Laguna_Negra_virus,Akodon_simulator,,wild,PCR,2,Levis et al. 2004,,v30
Luis006,Andes_virus,Akodon_varius,,wild,Antibodies,0,Sosa-Estani et al. 2002,arw,v30
F267,Akabane_virus,Alcelaphus_buselaphus,NW26,wild,Antibodies,0,Davies et al. 1985,M,v30
LM206,Alcelaphine_herpesvirus_2,Alcelaphus_buselaphus,,wild,Isolation,2,Reid et al. 1973,ILL,v30
F479,Bluetongue_virus,Alcelaphus_buselaphus,NW76,wild,Antibodies,0,Hamblin et al.,NA,v30
OIE23,Bovine_viral_diarrhea_virus_1,Alcelaphus_buselaphus,,wild,SNT,1,Hamblin and Hedger 1979,OIE,v30
F265,Crimean-Congo_hemorrhagic_fever_virus,Alcelaphus_buselaphus,NW258,wild,Antibodies,0,Shepherd et al. 1987,M,v30
KJO130,Foot-and-mouth_disease_virus,Alcelaphus_buselaphus,,wild,Antibodies,0,"Ayebazibwe et al., 2010a; From Weaver and Karesh In Press",kjo,v30
OIE96,Ovine_herpesvirus_2,Alcelaphus_buselaphus,,wild,VNT,1,Reid et al. 1975,OIE,v30
OIE46,Bovine_herpesvirus_1,Alces_alces,,domestic,VNT,1,Kocan et al. 1986,OIE,v30
OIE24,Bovine_viral_diarrhea_virus_1,Alces_alces,,wild,Antibodies,0,Thorsen and Henderson 1971,OIE,v30
KJO423,European_elk_papillomavirus,Alces_alces,,wild,Isolation,2,"Moreno-L_pez J, M_rner T, Pettersson U. Papillomavirus DNA associated with pulmonary fibromatosis in European elks. J Virol. 1986 Mar;57(3):1173-6. PubMed PMID: 3005617; PubMed Central PMCID: PMC252855.",kjo,v30
OIE97,Ovine_herpesvirus_2,Alces_alces,,wild,PCR,2,Vikoren et al. 2006,OIE,v30
F521,St._Louis_encephalitis_virus,Alces_alces,NW894,domestic,Antibodies,0,Trainer et al. 1971,E,v30
F1577,Simian_foamy_virus,Allenopithecus_nigroviridis,NA,wild,PCR,2,Schweizer et al. 1995,E,v30
F1521,Rabies_virus,Alopex_lagopus,NA,wild,PCR,2,Kuzmin et al. 2004,M,v30
F1595,St._Louis_encephalitis_virus,Alouatta_caraya,NA,wild,Antibodies,0,Contigiani al. 2000 ,M,v30
F567,Una_virus,Alouatta_caraya,NW966,wild,Antibodies,0,Diaz et al. 2003,M,v30
