,vVirusNameCorrected,IsHoSa.stringent,IsHoSa,seq,vNum,vOrder,vFamily,vSubfamily,vGenus,vIsTypeSpecies,vGenomeMinLength,vGenomeMaxLength,vGenomeAveLength,vPubMedCites,vWOKcites,vICTVnumber,vDNAoRNA,vSSoDS,vSegmented01,vSegmentedTF,vCytoReplic01,vCytoReplicTF,vVectorYNna,vBrdth.medianPD.cytb,vBrdth.meanPD.cytb,vBrdth.minPD.cytb,vBrdth.maxPD.cytb,vBrdth.iqrPD.cytb,vBrdth.sdPD.cytb,vBrdth.medianPD.ST,vBrdth.meanPD.ST,vBrdth.minPD.ST,vBrdth.maxPD.ST,vBrdth.iqrPD.ST,vBrdth.sdPD.ST,vBrdth.medianPD.ST.stringent,vBrdth.meanPD.ST.stringent,vBrdth.minPD.ST.stringent,vBrdth.maxPD.ST.stringent,vBrdth.iqrPD.ST.stringent,vBrdth.sdPD.ST.stringent,vBrdth.medianPD.cytb.stringent,vBrdth.meanPD.cytb.stringent,vBrdth.minPD.cytb.stringent,vBrdth.maxPD.cytb.stringent,vBrdth.iqrPD.cytb.stringent,vBrdth.sdPD.cytb.stringent,NumHosts,IsZoonotic,NumHosts.stringent,IsZoonotic.stringent,vEnvelope
1,Adelaide_River_virus,0,0,1,469,Mononegavirales,Rhabdoviridae,,Ephemerovirus,0,NA,NA,14627,7,6,,RNA,SS,0,FALSE,1,TRUE,Y,0,0,0,0,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,enveloped
2,Adeno-associated_virus-1,0,1,2,268,Unassigned,Parvoviridae,Parvovirinae,Dependovirus,0,NA,NA,4718,14,54,00.050.1.03.002.,DNA,SS,0,FALSE,0,FALSE,NA,0.589477878,0.536911126,0.387936382,0.633319117,0.204485612,0.130864889,70.6,57.86666667,32.4,70.6,31.83333333,22.05478028,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,NA,0,non-enveloped
3,Adeno-associated_virus-2,1,1,3,269,Unassigned,Parvoviridae,Parvovirinae,Dependovirus,1,NA,NA,4679,381,573,00.050.1.03.001.,DNA,SS,0,FALSE,0,FALSE,NA,0.387936382,0.387936382,0.387936382,0.387936382,0,NA,70.6,70.6,70.6,70.6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,0,non-enveloped
4,Adeno-associated_virus-5,1,1,4,472,Unassigned,Parvoviridae,Parvovirinae,Dependovirus,0,NA,NA,4642,4,4,,DNA,SS,0,FALSE,0,FALSE,NA,0,0,0,0,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,non-enveloped
5,African_green_monkey_polyomavirus,0,1,5,473,Unassigned,Polyomaviridae,,Polyomavirus,,NA,NA,5270,0,1,,DNA,DS,0,FALSE,1,TRUE,N,0.589477878,0.589477878,0.589477878,0.589477878,0,NA,70.6,70.6,70.6,70.6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,0,non-enveloped
6,African_green_monkey_simian_foamy_virus,0,0,6,344,Unassigned,Retroviridae,Spumaretrovirinae,Spumavirus,0,NA,NA,13111,14,1,00.061.2.07.007.00.003.,RNA,SS,0,FALSE,0,FALSE,N,0,0,0,0,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,0,enveloped
7,African_horse_sickness_virus,0,0,7,306,Unassigned,Reoviridae,Sedoreovirinae,Orbivirus,0,NA,NA,19200,291,418,00.060.0.02.002.,RNA,DS,1,TRUE,1,TRUE,Y,0.479034684,0.472859386,0.067150182,0.915672818,0.146178755,0.186858934,170.8,144.1295238,3,197.8,42.6,53.25622377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,0,NA,0,non-enveloped
8,African_swine_fever_virus,0,0,8,55,Unassigned,Asfarviridae,,Asfivirus,1,170000,190000,180000,789,969,00.002.0.01.001.,DNA,DS,0,FALSE,1,TRUE,Y,0.169303167,0.161376488,0.143113072,0.171713224,0.02383346,0.015862419,43.4,43.26666667,43,43.4,0.333333333,0.230940108,43.4,43.26666667,43,43.4,0.333333333,0.230940108,0.169303167,0.161376488,0.143113072,0.171713224,0.02383346,0.015862419,3,0,3,0,enveloped
9,Aichi_virus,1,1,9,284,Picornavirales,Picornaviridae,,Kobuvirus,1,8244,8280,8262,80,100,,RNA,SS,0,FALSE,1,TRUE,N,0,0,0,0,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,non-enveloped
10,Akabane_virus,0,0,10,77,Unassigned,Bunyaviridae,,Orthobunyavirus,0,NA,NA,12035,126,232,00.011.0.01.003.,RNA,SS,1,TRUE,1,TRUE,Y,0.272603203,0.308417009,0.08958523,0.557695732,0.172103953,0.114840355,53,86.18666667,12.2,170.6,101,56.04039935,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,0,NA,0,enveloped
