Species ID,Kingdom,Phylum,Class,Order,Family,Genus,Species,Authority,Infraspecific rank,Infraspecific name,Infraspecific authority,Stock/subpopulation,Synonyms,Common names (Eng),Common names (Fre),Common names (Spa),Red List status,Red List criteria,Red List criteria version,Year assessed,Population trend,Petitioned
42641,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Abditomys,latidens,"(Sanborn, 1952)",,,,,"",Luzon Broad-toothed Rat,,,DD,,3.1,2008,unknown,N
17879,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Abeomelomys,sevia,"(Tate & Archbold, 1935)",,,,,Pogonomelomys sevia  ,"Menzies' Mouse, Menzies's Mouse, Highland Brush Mouse, Papuan Abeomelomys",,,LC,,3.1,2008,unknown,N
16,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,CRICETIDAE,Abrawayaomys,ruschii,"Cunha & Cruz, 1979",,,,,"",Ruschi's Rat,,,LC,,3.1,2008,unknown,N
42656,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,ABROCOMIDAE,Abrocoma,bennettii,"Waterhouse, 1837",,,,,"",Bennett's Chinchilla Rat,,,LC,,3.1,2008,unknown,N
18,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,ABROCOMIDAE,Abrocoma,boliviensis,"Glanz & Anderson, 1990",,,,,"",Bolivian Chinchilla Rat,,,CR,"B1ab(i,ii,iii)",3.1,2008,decreasing,N
136334,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,ABROCOMIDAE,Abrocoma,budini,"Thomas, 1920",,,,,"",Budin's Chinchilla Rat,,,DD,,3.1,2008,unknown,N
42657,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,ABROCOMIDAE,Abrocoma,cinerea,"Thomas, 1919",,,,,"",Ashy Chinchilla Rat,,,LC,,3.1,2008,stable,N
136367,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,ABROCOMIDAE,Abrocoma,famatina,"Thomas, 1920",,,,,"",Famatina Chinchilla Rat,,,DD,,3.1,2008,unknown,N
136525,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,ABROCOMIDAE,Abrocoma,shistacea,"Thomas, 1921",,,,,"",Sierra Del Tontal Chinchilla Rat,,,DD,,3.1,2008,unknown,N
136302,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,ABROCOMIDAE,Abrocoma,uspallata,"Braun & Mares, 2002",,,,,"",Uspallata Chinchilla Rat,,,DD,,3.1,2008,unknown,N
136546,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,ABROCOMIDAE,Abrocoma,vaccarum,"Thomas, 1921",,,,,"",Mendozan Chinchilla Rat,,,DD,,3.1,2008,unknown,N
4803,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,CRICETIDAE,Abrothrix,andinus,"(Philippi, 1858)",,,,,Chroeomys andinus  ,"Andean Akodont, Andean Altiplano Mouse, Andean Grass Mouse",,,LC,,3.1,2008,unknown,N
734,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,CRICETIDAE,Abrothrix,hershkovitzi,"(Patterson, Gallardo & Freas, 1984)",,,,,Akodon hershkovitzi  ,"Hershkovitz's Akodont, Hershkovitz's Grass Mouse",,,LC,,3.1,2008,stable,N
735,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,CRICETIDAE,Abrothrix,illuteus,"Thomas, 1925",,,,,Akodon illuteus  ,"Gray Akodont, Gray Grass Mouse",,,NT,,3.1,2008,decreasing,N
4804,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,CRICETIDAE,Abrothrix,jelskii,"(Thomas, 1894)",,,,,Chroeomys jelskii  ,"Jelski's Altiplano Mouse, Ornate Akodont, Ornate Grass Mouse",,,LC,,3.1,2008,stable,N
740,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,CRICETIDAE,Abrothrix,lanosus,"(Thomas, 1897)",,,,,Akodon lanosus  ,"Woolly Grass Mouse, Woolly Akodont",,,LC,,3.1,2008,stable,N
743,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,CRICETIDAE,Abrothrix,longipilis,"(Waterhouse, 1837)",,,,,Akodon longipilis  ,"Long-haired Akodont, Long-haired Grass Mouse",,,LC,,3.1,2008,decreasing,N
745,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,CRICETIDAE,Abrothrix,markhami,"(Pine, 1973)",,,,,Akodon markhami  ,"Markham's Grass Mouse, Wellington Akodont",,,LC,,3.1,2008,stable,N
751,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,CRICETIDAE,Abrothrix,olivaceus,"(Waterhouse, 1837)",,,,,Akodon mansoensis  |Akodon olivaceus  |Akodon xanthorhinus  ,"Olive Grass Mouse, Olive-coloured Akodont",,,LC,,3.1,2008,stable,N
754,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,CRICETIDAE,Abrothrix,sanborni,"(Osgood, 1943)",,,,,Akodon sanborni  ,"Sanborn's Grass Mouse, Sanborn's Akodont",,,NT,,3.1,2008,decreasing,N
137,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,PTEROPODIDAE,Acerodon,celebensis,"Peters, 1867",,,,,"","Sulawesi Fruit Bat, Sulawesi Flying Fox, Sulawesi Flying-fox, Sulawesi Acerodon",,Zorro Volador De Las Célebes,LC,,3.1,2008,unknown,N
138,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,PTEROPODIDAE,Acerodon,humilis,"K. Andersen, 1909",,,,,"","Talaud Fruit Bat, Talaud Flying Fox, Talaud Flying-fox, Talaud Acerodon",,Zorro Volador De Talaud,EN,"B1ab(iii,v)",3.1,2008,decreasing,N
139,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,PTEROPODIDAE,Acerodon,jubatus,"(Eschscholtz, 1831)",,,,,Acerodon lucifer  ,"Golden-capped Fruit Bat, Golden-crowned Flying Fox",,Zorro Volador Filipino,EN,A2cd,3.1,2008,decreasing,N
140,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,PTEROPODIDAE,Acerodon,leucotis,"(Sanborn, 1950)",,,,,"","Palawan Fruit Bat, Palawan Flying Fox",,Zorro Volador De Calamian,VU,A4cd,3.1,2008,decreasing,N
142,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,PTEROPODIDAE,Acerodon,mackloti,"(Temminck, 1837)",,,,,"","Sunda Fruit Bat, Sunda Flying-fox, Sunda Flying Fox",,Zorro Volador De Macklot,VU,A3cd,3.1,2008,decreasing,N
219,ANIMALIA,CHORDATA,MAMMALIA,CARNIVORA,FELIDAE,Acinonyx,jubatus,"(Schreber, 1775)",,,,,Felis jubata,"Cheetah, Hunting Leopard",Guépard,"Chita, Guepardo",VU,A2acd; C1,3.1,2015,decreasing,N
44936,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Acomys,airensis,"Thomas & Hinton, 1921",,,,,"",Western Saharan Spiny Mouse,,,LC,,3.1,2008,stable,N
263,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Acomys,cahirinus,"(É. Geoffroy, 1803)",,,,,Acomys chudeaui  ,"Cairo Spiny Mouse, Greater Wilfred's Mouse, Northeast African Spiny Mouse",,,LC,,3.1,2008,stable,N
264,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Acomys,cilicicus,"Spitzenberger, 1978",,,,,"","Asia Minor Spiny Mouse, Turkish Spiny Mouse",,,DD,,3.1,2008,unknown,N
265,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Acomys,cineraceus,"Heuglin, 1877",,,,,Acomys cinerasceus  ,"Gray Spiny Mouse, Grey Spiny Mouse",,,LC,,3.1,2008,stable,N
136471,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Acomys,dimidiatus,"(Cretzschmar, 1826)",,,,,Acomys cahirinus subspecies dimidiatus|Acomys flavidus  |Mus dimidiatus  ,"Arabian Spiny Mouse, Eastern Spiny Mouse",,,LC,,3.1,2008,unknown,N
266,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Acomys,ignitus,"Dollman, 1910",,,,,"",Fiery Spiny Mouse,,,LC,,3.1,2008,stable,N
44938,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Acomys,johannis,"Thomas, 1912",,,,,"",Johan's Spiny Mouse,,,LC,,3.1,2008,stable,N
267,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Acomys,kempi,"Dollman, 1911",,,,,"",Kemp's Spiny Mouse,,,LC,,3.1,2008,stable,N
268,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Acomys,louisae,"Thomas, 1896",,,,,"",Louise's Spiny Mouse,,,LC,,3.1,2008,stable,N
269,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Acomys,minous,"Bate, 1906",,,,,"","Crete Spiny Mouse, Spiny Mouse, Cretan Spiny Mouse",Souris Épineuse De Crete,Ratón Espinoso De Creta,DD,,3.1,2008,unknown,N
270,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Acomys,mullah,"Thomas, 1904",,,,,"",Mullah Spiny Mouse,,,LC,,3.1,2008,unknown,N
271,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Acomys,nesiotes,"Bate, 1903",,,,,"",Cyprus Spiny Mouse,,,DD,,3.1,2008,unknown,N
272,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Acomys,percivali,"Dollman, 1911",,,,,"",Percival's Spiny Mouse,,,LC,,3.1,2008,stable,N
273,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Acomys,russatus,"(Wagner, 1840)",,,,,Acomys lewisi  ,Golden Spiny Mouse,,,LC,,3.1,2008,unknown,N
44939,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Acomys,seurati,"Heim de Balsac, 1936",,,,,"",Seurat's Spiny Mouse,,,LC,,3.1,2008,stable,N
