"","hHostNameFinal","hMassGrams","PVRcytb_resid"
"360","Marmosa_murina",36.28,-3.93844939188564
"141","Chironectes_minimus",974.33,0.629835691014826
"184","Didelphis_marsupialis",1134.75,1.27102150582207
"185","Didelphis_virginiana",2442.08,2.03255796372363
"546","Philander_opossum",425.81,0.0767555813354747
"380","Metachirus_nudicaudatus",363.77,-1.04714779181861
"85","Caluromys_philander",246.47,-1.69545453473179
"84","Caluromys_derbianus",326.72,-1.41409627414413
"730","Trichosurus_vulpecula",2685.39,-0.625117928855005
"352","Macropus_parma",4156.62,-0.704067996057194
"354","Macropus_rufogriseus",16850,0.545649639968352
"665","Setonix_brachyurus",3027.67,-1.36348059166958
"353","Macropus_robustus",25978.92,0.906305060848677
"350","Macropus_fuliginosus",25564.7,0.897649420772344
"351","Macropus_giganteus",33409.89,1.1710626552144
"355","Macropus_rufus",38968.39,1.36001809888377
"349","Macropus_agilis",11815.75,0.242324328138069
"288","Isoodon_macrourus",1505.77,-0.659191660539414
"530","Perameles_nasuta",720.26,-1.37926731803981
"196","Elephas_maximus",3269794.34,3.26765270797048
"327","Loxodonta_africana",3824539.93,3.41776937011349
"74","Bradypus_variegatus",4136.36,-1.81232528497873
"73","Bradypus_tridactylus",4375.8,-1.65516892870591
"146","Choloepus_didactylus",6646.5,-0.660912773869669
"451","Myrmecophaga_tridactyla",29531.83,1.15311600252763
"702","Tamandua_tetradactyla",4800,-0.572435501815278
"177","Dasypus_novemcinctus",3949.01,-0.206861607175482
"291","Lama_glama",78322.67,-2.06792312173219
"747","Vicugna_vicugna",47499.61,-2.69862668700376
"292","Lama_pacos",78322.67,-2.187390562447
"87","Camelus_dromedarius",492714.47,-0.0264902471485362
"86","Camelus_bactrianus",554515.91,0.163633131019811
"687","Sus_scrofa",84471.54,-0.00104361206886078
"544","Phacochoerus_aethiopicus",75607.52,-0.12100309658563
"571","Potamochoerus_porcus",70000.31,-0.248326859222939
"545","Phacochoerus_africanus",82499.99,0.0234317222402099
"22","Ammotragus_lervia",94202.22,-0.261677935747521
"587","Pseudois_nayaur",52334.57,-0.915584237343094
"95","Capra_aegagrus",47386.47,-1.06999173533847
"97","Capra_ibex",69546.83,-0.696484010566231
"98","Capra_pyrenaica",60898.77,-0.830989715891294
"513","Ovis_dalli",70194.13,-0.831058337867813
"511","Ovis_aries",39097.89,-1.54747072873624
"514","Ovis_orientalis",61312.29667,-1.09592345897709
"512","Ovis_canadensis",74644.87,-0.80966443990278
"96","Capra_hircus",47386.47,-1.02940957788204
"643","Rupicapra_pyrenaica",29999.99,-1.3763213142443
"644","Rupicapra_rupicapra",33266.35,-1.27763698116087
"510","Ovibos_moschatus",312500,0.966200737501437
"100","Capricornis_crispus",43030.64,-1.015304203856
"499","Oreamnos_americanus",72105.4,-0.497325543835708
"272","Hippotragus_niger",236405.9,1.04011903940542
"271","Hippotragus_equinus",264173.96,1.15410227811983
"502","Oryx_gazella",188404.45,0.809729144374564
"503","Oryx_leucoryx",75788.24,-0.100598701655015
"154","Connochaetes_gnou",156547.53,0.618900809730748
"155","Connochaetes_taurinus",198619.68,0.858755933733236
"13","Alcelaphus_buselaphus",160937.86,0.653370597442161
"173","Damaliscus_pygargus",77784.55,-0.08248315252075
"172","Damaliscus_lunatus",136000.33,0.475469322134087
"576","Procapra_gutturosa",28274.27,-0.0907640042558662
"609","Raphicerus_sharpei",9396.9,-1.17464980776297
"509","Ourebia_ourebi",17186.09,-0.610550024338969
"654","Saiga_tatarica",37734.01,0.396839837513905
"24","Antidorcas_marsupialis",33571.24,0.568096253493225
"26","Antilope_cervicapra",36301.1,0.836304410979022
"452","Nanger_granti",55464.46,1.36341145311534
"217","Eudorcas_thomsonii",22907.43,0.515760309657638
"236","Gazella_subgutturosa",26981.37,0.856299719941022
"235","Gazella_gazella",21306.83,0.680865571120841
"234","Gazella_dorcas",15635.95,0.373826388458728
"109","Cephalophus_callipygus",19079.23,-0.962157752709452
"113","Cephalophus_weynsi",16741.0625,-1.09600472921831
"112","Cephalophus_nigrifrons",14676.33,-1.24864847622131
"110","Cephalophus_dorsalis",20000,-0.947196874553847
"689","Sylvicapra_grimmia",15639.15,-1.19485383158125
"547","Philantomba_monticola",4896.05,-2.39200216772021
"111","Cephalophus_leucogaster",13208.69,-1.40896068488434
"618","Redunca_fulvorufula",29352.66,-0.795852479643041
"617","Redunca_arundinum",58059.24,-0.114236678452592
"289","Kobus_ellipsiprymnus",204393.48,1.13871683825715
"5","Aepyceros_melampus",52591.69,-0.341628254163532
"725","Tragelaphus_imberbis",94320.39,-0.707118445949725
"723","Tragelaphus_angasii",87616.76,-0.795395016433653
"728","Tragelaphus_strepsiceros",206056.41,0.0272001807944792
"726","Tragelaphus_oryx",562592.69,1.02010640148325
"727","Tragelaphus_scriptus",43250.39,-1.63788303332851
"724","Tragelaphus_eurycerus",270998.37,0.228024282582644
"72","Boselaphus_tragocamelus",182253.04,0.190921913100677
"71","Bos_taurus",618642.42,1.14819100763133
"65","Bison_bison",624577.07,0.775781447052809
"70","Bos_mutus",5e+05,0.557419650009626
"69","Bos_javanicus",635974.34,0.725999732032596
"68","Bos_gaurus",584872.2533,0.653837923063502
"66","Bison_bonasus",675876.7,0.847962807151391
"696","Syncerus_caffer",592665.98,1.21224809865591
"75","Bubalus_arnee",929500.97,1.59533704783701
"76","Bubalus_bubalis",929500.97,1.5974450433188
"243","Giraffa_camelopardalis",964654.73,2.43530267810551
"99","Capreolus_capreolus",22502.01,-0.904660041658996
"14","Alces_alces",461900.76,2.11232498596472
"408","Muntiacus_muntjak",17611.59,-1.14093789768822
"54","Axis_axis",69499.99,0.280073512765581
"134","Cervus_elaphus",240867.13,1.61191057943663
