host_species,host_order,viral_richness_observed,zoonotic_richness_observed,viral_richness_base_predict,viral_richness_max_predict,zoonotic_richness_base_predict,zoonotic_richness_max_predict,missing_viruses,missing_zoonoses
Abrothrix_longipilis,RODENTIA,1,1,1.18810756790143,13.6491895925476,0.832118578338811,9.53108329716021,12.6491895925476,8.53108329716021
Abrothrix_olivaceus,RODENTIA,1,1,1.23944794532991,13.8046518388148,0.844652140000239,9.80478223858705,12.8046518388148,8.80478223858705
Acinonyx_jubatus,CARNIVORA,6,1,5.30442648217675,14.4440649893275,3.23883387211502,7.52760305967235,8.4440649893275,6.52760305967235
Aepyceros_melampus,CETARTIODACTYLA,9,3,5.59301266157335,21.9189824287523,2.8427444935688,6.49591222334299,12.9189824287523,3.49591222334299
Aethomys_kaiseri,RODENTIA,1,0,1.81260696312213,24.628235679763,0.635927945995851,13.2802987124687,23.628235679763,13.2802987124687
Aethomys_namaquensis,RODENTIA,2,2,2.32048012387317,25.8449096871369,1.38211524415481,15.0665568829229,23.8449096871369,13.0665568829229
Akodon_azarae,RODENTIA,3,3,2.62407202341231,14.2176150470751,2.51418784405177,10.3645570394006,11.2176150470751,7.36455703940061
Akodon_montensis,RODENTIA,2,2,1.98240195446745,21.4002275593724,1.72084732692591,15.436954919332,19.4002275593724,13.436954919332
Akodon_simulator,RODENTIA,1,1,1.02436183954208,13.7684559075696,0.898056032848821,10.3529009504078,12.7684559075696,9.35290095040781
Akodon_varius,RODENTIA,1,1,1.56784470761713,20.6506489348981,0.780755790428174,13.5870122043911,19.6506489348981,12.5870122043911
Alcelaphus_buselaphus,CETARTIODACTYLA,7,2,4.18348929696962,23.5990635284796,2.33908790856469,6.93643693321259,16.5990635284796,4.93643693321259
Alopex_lagopus,CARNIVORA,1,1,4.16315897210496,9.99963080702822,0.63228465081418,6.23269958315779,8.99963080702822,5.23269958315779
Alouatta_caraya,PRIMATES,3,3,4.93567319895678,26.2495843684412,2.27398705437071,17.6040792218878,23.2495843684412,14.6040792218878
Alouatta_palliata,PRIMATES,2,2,3.5321019220193,22.4238232068065,1.39977619345146,14.4148550220942,20.4238232068065,12.4148550220942
Alouatta_pigra,PRIMATES,2,2,1.83572208158471,22.396781026074,1.41005861652384,13.6465100714922,20.396781026074,11.6465100714922
Alouatta_seniculus,PRIMATES,1,1,3.69343742983895,34.1132493116676,0.766032169409876,23.3376241517713,33.1132493116676,22.3376241517713
Ammotragus_lervia,CETARTIODACTYLA,2,0,1.9612203847445,12.1376082791311,0.704417514609304,3.75415138909114,10.1376082791311,3.75415138909114
Anoura_geoffroyi,CHIROPTERA,8,6,3.40960622140745,33.5061848622937,6.83850934745473,24.266709573157,25.5061848622937,18.266709573157
Antidorcas_marsupialis,CETARTIODACTYLA,5,3,2.69682682772959,14.3426398969296,1.80530984165162,4.6138597936941,9.34263989692957,1.6138597936941
Antilocapra_americana,CETARTIODACTYLA,6,2,2.87674187801616,13.1392205757646,2.23267475851487,4.64658684637681,7.13922057576462,2.64658684637681
Antilope_cervicapra,CETARTIODACTYLA,3,1,3.14577102323466,14.1653088183442,0.991863796605813,4.17862275344167,11.1653088183442,3.17862275344167
Antrozous_pallidus,CHIROPTERA,1,1,2.94600339278251,24.1067835566785,0.883150646781909,18.6961668214644,23.1067835566785,17.6961668214644
Aotus_azarae,PRIMATES,1,1,2.78205904963245,23.4552001424584,0.809727598267512,15.9871210580865,22.4552001424584,14.9871210580865
Aotus_trivirgatus,PRIMATES,9,7,10.2268155433103,24.2255279270695,7.33903128904306,18.6058719104754,15.2255279270695,11.6058719104754
Apodemus_agrarius,RODENTIA,5,5,8.5608099529425,15.9489677805788,2.95671523590346,9.17168453612138,10.9489677805788,4.17168453612138
Apodemus_argenteus,RODENTIA,1,0,2.97759969788506,13.5707986413926,0.694308344408149,8.34502254182574,12.5707986413926,8.34502254182574
Apodemus_flavicollis,RODENTIA,9,6,9.00106796083369,16.0785562136897,5.61908666886772,9.97796907113798,7.07855621368966,3.97796907113798
Apodemus_mystacinus,RODENTIA,1,1,1.48067140011913,13.6757461255062,0.710547542358402,8.35721985978301,12.6757461255062,7.35721985978301
Apodemus_peninsulae,RODENTIA,1,1,3.59473791931403,16.2915058087417,0.648618319654483,9.25628163841203,15.2915058087417,8.25628163841203
Apodemus_speciosus,RODENTIA,1,0,4.64316642618728,13.5447099021528,0.667457851856162,8.33537605318719,12.5447099021528,8.33537605318719
Apodemus_sylvaticus,RODENTIA,19,10,11.8950793141853,16.2526122431497,11.6264968631819,10.1843310113632,-2.74738775685028,0.184331011363206
Apodemus_uralensis,RODENTIA,1,1,2.2511247432351,16.3954442635308,0.706472228482121,9.92507941817711,15.3954442635308,8.92507941817711
Artibeus_cinereus,CHIROPTERA,4,4,2.88130464837571,38.0136113767163,3.66211950760071,29.1036559970402,34.0136113767163,25.1036559970402
Artibeus_fimbriatus,CHIROPTERA,1,1,2.88572422343928,32.1404528181375,0.915653273280206,24.5994856343676,31.1404528181375,23.5994856343676
Artibeus_jamaicensis,CHIROPTERA,14,13,6.21626301402244,33.0601954111329,10.966148176727,23.3550739207568,19.0601954111329,10.3550739207568
Artibeus_lituratus,CHIROPTERA,18,16,8.38991171200973,37.8920453244038,15.5272537370951,28.7595066564074,19.8920453244038,12.7595066564074
Artibeus_phaeotis,CHIROPTERA,6,6,3.20616609366522,43.5627887290266,5.14539752412124,31.2605768441066,37.5627887290266,25.2605768441066
Artibeus_planirostris,CHIROPTERA,1,1,3.31464098236698,43.6583335961369,0.911842084723698,33.4180166480259,42.6583335961369,32.4180166480259
Artibeus_toltecus,CHIROPTERA,2,2,2.05253315866062,27.034655588536,1.66007505818819,18.7884933888485,25.034655588536,16.7884933888485
Arvicanthis_neumanni,RODENTIA,1,0,1.81620579058017,24.611434542522,0.611927044489026,13.1179683901776,23.611434542522,13.1179683901776
Arvicanthis_niloticus,RODENTIA,11,4,6.38784060728813,24.7298861397427,6.69597033899945,13.5209186366505,13.7298861397427,9.52091863665051
Arvicola_amphibius,RODENTIA,2,2,1.37404848665291,16.7641188083368,1.48157316134634,10.5179434376403,14.7641188083368,8.51794343764032
Arvicola_scherman,RODENTIA,2,2,1.36166774831752,14.699339661457,1.47852172201842,9.24665549210999,12.699339661457,7.24665549210999
Ateles_geoffroyi,PRIMATES,2,0,4.17225979409233,22.6059281527095,1.35737631910034,13.9917291860356,20.6059281527095,13.9917291860356
Atilax_paludinosus,CARNIVORA,1,1,1.18681753185931,15.295912712493,0.654606298351583,8.41957527452257,14.295912712493,7.41957527452257
Baiomys_taylori,RODENTIA,3,2,1.24919639676947,15.240857228701,2.28474715046543,9.88380618344056,12.240857228701,7.88380618344056
